scientificName,Name,Conservation,Low,High,Order,Redlist,Trend,Threat,Habitat,Redlist2,
Squaliolus laticaudus,Spined Pygmy Shark,null,10,1800,SQUALIFORMES,5,Stable,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Zameus squamulosus,Velvet Dogfish,null,0,1511,SQUALIFORMES,5,Stable,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Isurus paucus,Longfin Mako,"Land/water protection, Species management",0,1752,LAMNIFORMES,2,Decreasing,Biological resource use,Oceanic,Endangered,
Dalatias licha,Kitefin Shark,null,37,1800,SQUALIFORMES,3,Decreasing,Biological resource use,"Oceanic, Deep Benthic",Vulnerable,
Cephaloscyllium sarawakensis,Sarawak Pygmy Swell Shark,"Land/water protection, Species management, Law & policy",82,200,CARCHARHINIFORMES,1,Decreasing,Biological resource use,"Neritic, Deep Benthic",Critically Endangered,
Aetobatus ocellatus,Spotted Eagle Ray,Species management,0,60,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Carcharhinus melanopterus,Blacktip Reef Shark,"Land/water protection, Species management, Law & policy",0,75,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Agriculture & aquaculture, Biological resource use, Human intrusions & disturbance, Climate change & severe weather","Neritic, Intertidal",Vulnerable,
Pristis zijsron,Green Sawfish,"Land/water protection, Species management, Law & policy",0,100,RHINOPRISTIFORMES,1,Decreasing,"Residential & commercial development, Biological resource use, Climate change & severe weather, Energy production & mining, Natural system modifications","Neritic, Intertidal",Critically Endangered,
Aetomylaeus nichofii,Banded Eagle Ray,"Land/water protection, Species management",5,115,MYLIOBATIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Aetomylaeus vespertilio,Ornate Eagle Ray,Species management,0,110,MYLIOBATIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Alopias pelagicus,Pelagic Thresher,"Land/water protection, Species management",0,300,LAMNIFORMES,2,Decreasing,Biological resource use,"Neritic, Oceanic",Endangered,
Apristurus longicephalus,Longhead Catshark,null,500,1140,CARCHARHINIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Carcharhinus amblyrhynchoides,Graceful Shark,"Land/water protection, Species management, Law & policy",0,50,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use","Neritic, Intertidal",Vulnerable,
Centrophorus moluccensis,Endeavour Dogfish,Law & policy,128,823,SQUALIFORMES,3,Decreasing,Biological resource use,Deep Benthic,Vulnerable,
Centroscyllium kamoharai,Bareskin Dogfish,null,500,1200,SQUALIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Chiloscyllium punctatum,Grey Carpetshark,null,0,85,ORECTOLOBIFORMES,4,Decreasing,Biological resource use,Neritic,Near Threatened,
Chimaera phantasma,Silver Chimaera,"Land/water protection, Species management",20,962,CHIMAERIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Chlamydoselachus anguineus,Frilled Shark,Species management,50,1500,HEXANCHIFORMES,5,Unknown,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Deania calcea,Birdbeak Dogfish,null,60,1600,SQUALIFORMES,4,Decreasing,Biological resource use,Deep Benthic,Near Threatened,
Echinorhinus cookei,Prickly Shark,Species management,4,1100,SQUALIFORMES,6,Unknown,Biological resource use,Deep Benthic,Data Deficient,
Eusphyra blochii,Winghead Shark,Species management,0,500,CARCHARHINIFORMES,2,Decreasing,Biological resource use,Neritic,Endangered,
Glaucostegus typus,Giant Guitarfish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",0,100,RHINOPRISTIFORMES,1,Decreasing,Biological resource use,Intertidal,Critically Endangered,
Hemipristis elongata,Snaggletooth Shark,Species management,0,130,CARCHARHINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Heterodontus zebra,Barred Bullhead Shark,null,0,200,HETERODONTIFORMES,5,Decreasing,Biological resource use,Neritic,Least Concern,
Hexanchus nakamurai,Bigeyed Sixgill Shark,null,0,702,HEXANCHIFORMES,4,Decreasing,Biological resource use,"Deep Benthic, Oceanic",Near Threatened,
Hexatrygon bickelli,Hexatrygon bickelli,Species management,30,1120,MYLIOBATIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Himantura leoparda,Leopard Whipray,"Land/water protection, Species management, Education & awareness, Law & policy",1,70,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Intertidal, Neritic",Vulnerable,
Hypogaleus hyugaensis,Pencil Shark,null,40,480,CARCHARHINIFORMES,5,Stable,Biological resource use,Neritic,Least Concern,
Myliobatis hamlyni,Purple Eagle Ray,"Land/water protection, Education & awareness, Law & policy",117,330,MYLIOBATIFORMES,4,Decreasing,Biological resource use,"Neritic, Deep Benthic",Near Threatened,
Plesiobatis daviesi,Giant Stingaree,null,44,680,MYLIOBATIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Rhinochimaera pacifica,Pacific Spookfish,null,191,1290,CHIMAERIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Rhizoprionodon acutus,Milk Shark,"Land/water protection, Species management, Law & policy",1,200,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Rhynchobatus australiae,Bottlenose Wedgefish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",0,60,RHINOPRISTIFORMES,1,Decreasing,Biological resource use,Neritic,Critically Endangered,
Squaliolus aliae,Smalleye Pygmy Shark,null,150,2000,SQUALIFORMES,5,Unknown,Biological resource use,Oceanic,Least Concern,
Squalus montalbani,Philippine Spurdog,"Land/water management, Species management",154,1370,SQUALIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Taeniurops meyeni,Blotched Fantail Ray,"Land/water protection, Land/water management, Species management",0,439,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Urogymnus asperrimus,Porcupine Ray,"Land/water protection, Species management",1,30,MYLIOBATIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Carcharhinus tjutjot,Indonesian Whaler Shark,"Land/water protection, Land/water management, Species management, Law & policy",0,100,CARCHARHINIFORMES,3,Decreasing,"Biological resource use, Natural system modifications",Neritic,Vulnerable,
Apristurus platyrhynchus,Flatnose Catshark,null,400,1080,CARCHARHINIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Apristurus sinensis,South China Catshark,null,537,1290,CARCHARHINIFORMES,6,Unknown,Biological resource use,Deep Benthic,Data Deficient,
Rhinochimaera africana,Paddlenose Spookfish,null,550,1450,CHIMAERIFORMES,6,Unknown,Biological resource use,Deep Benthic,Data Deficient,
Trigonognathus kabeyai,Viper Dogfish,null,250,1000,SQUALIFORMES,5,Stable,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Odontaspis ferox,Smalltooth Sand Tiger,"Land/water protection, Law & policy",10,880,LAMNIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Rhinobatos schlegelii,Brown Guitarfish,"Land/water protection, Species management, Law & policy",1,230,RHINOPRISTIFORMES,1,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Critically Endangered,
Rhynchobatus immaculatus,Taiwanese Wedgefish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",0,700,RHINOPRISTIFORMES,1,Decreasing,Biological resource use,Neritic,Critically Endangered,
Aetobatus narutobiei,Naru Eagle Ray,"Land/water protection, Species management, Law & policy",0,60,MYLIOBATIFORMES,3,Decreasing,"Residential & commercial development, Agriculture & aquaculture, Biological resource use",Neritic,Vulnerable,
Bathytoshia lata,Brown Stingray,"Land/water protection, Species management, Law & policy",0,800,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Neritic, Deep Benthic",Vulnerable,
Telatrygon zugei,Pale-edge Sharpnose Ray,"Land/water protection, Species management, Law & policy",0,100,MYLIOBATIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Vulnerable,
Hemitrygon akajei,Red Stingray,"Land/water protection, Species management",0,100,MYLIOBATIFORMES,4,Decreasing,"Residential & commercial development, Biological resource use",Neritic,Near Threatened,
Hemitrygon bennetti,Bennett's Stingray,"Land/water protection, Species management, Law & policy",25,36,MYLIOBATIFORMES,3,Decreasing,Biological resource use,"Wetlands£¨inland£©, Neritic",Vulnerable,
